,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,principal component 1,principal component 2,Ariana Grande,popularity
20,1,0.54,0.265,11,-5.307,1,0.0297,0.88,0,0.131,0.423,61.975,2014,0.2916,0.1431,5.94,-2.86578,0.54,0.016038,0.4752,0,0.07074,0.22842,33.4665,1087.56,0.070225,2.915,-1.406355,0.265,0.0078705,0.2332,0,0.034715,0.112095,16.423375,533.71,121,-58.377,11,0.3267,9.68,0,1.441,4.653,681.725,22154,28.164249,-5.307,-0.1576179,-4.67016,0,-0.695217,-2.244861,-328.901325,-10688.298,1,0.0297,0.88,0,0.131,0.423,61.975,2014,0.00088209,0.026136,0,0.0038907,0.0125631,1.8406575,59.8158,0.7744,0,0.11528,0.37224,54.538,1772.32,0,0,0,0,0,0.017161,0.055413,8.118725,263.834,0.178929,26.215425,851.922,3840.900625,124817.65,4056196,-116041.067,10200.07156,1,63
21,1,0.703,0.747,0,-4.446,0,0.0895,0.283,0,0.396,0.7,149.974,2014,0.494209,0.525141,0,-3.125538,0,0.0629185,0.198949,0,0.278388,0.4921,105.431722,1415.842,0.558009,0,-3.321162,0,0.0668565,0.211401,0,0.295812,0.5229,112.030578,1504.458,0,0,0,0,0,0,0,0,0,0,19.766916,0,-0.397917,-1.258218,0,-1.760616,-3.1122,-666.784404,-8954.244,0,0,0,0,0,0,0,0,0.00801025,0.0253285,0,0.035442,0.06265,13.422673,180.253,0.080089,0,0.112068,0.1981,42.442642,569.962,0,0,0,0,0,0.156816,0.2772,59.389704,797.544,0.49,104.9818,1409.8,22492.20068,302047.636,4056196,62168.90496,2988.277951,1,62
22,1,0.381,0.631,0,-5.886,1,0.262,0.0453,0,0.129,0.37,170.187,2014,0.145161,0.240411,0,-2.242566,0.381,0.099822,0.0172593,0,0.049149,0.14097,64.841247,767.334,0.398161,0,-3.714066,0.631,0.165322,0.0285843,0,0.081399,0.23347,107.387997,1270.834,0,0,0,0,0,0,0,0,0,0,34.644996,-5.886,-1.542132,-0.2666358,0,-0.759294,-2.17782,-1001.720682,-11854.404,1,0.262,0.0453,0,0.129,0.37,170.187,2014,0.068644,0.0118686,0,0.033798,0.09694,44.588994,527.668,0.00205209,0,0.0058437,0.016761,7.7094711,91.2342,0,0,0,0,0,0.016641,0.04773,21.954123,259.806,0.1369,62.96919,745.18,28963.61497,342756.618,4056196,103310.6228,1976.430503,1,57
23,1,0.692,0.608,8,-5.233,0,0.041,0.218,0,0.348,0.449,125.012,2013,0.478864,0.420736,5.536,-3.621236,0,0.028372,0.150856,0,0.240816,0.310708,86.508304,1392.996,0.369664,4.864,-3.181664,0,0.024928,0.132544,0,0.211584,0.272992,76.007296,1223.904,64,-41.864,0,0.328,1.744,0,2.784,3.592,1000.096,16104,27.384289,0,-0.214553,-1.140794,0,-1.821084,-2.349617,-654.187796,-10534.029,0,0,0,0,0,0,0,0,0.001681,0.008938,0,0.014268,0.018409,5.125492,82.533,0.047524,0,0.075864,0.097882,27.252616,438.834,0,0,0,0,0,0.121104,0.156252,43.504176,700.524,0.201601,56.130388,903.837,15628.00014,251649.156,4052169,11302.56597,11015.98262,1,61
24,1,0.725,0.796,1,-3.684,1,0.0326,0.0154,0,0.354,0.517,101.976,2013,0.525625,0.5771,0.725,-2.6709,0.725,0.023635,0.011165,0,0.25665,0.374825,73.9326,1459.425,0.633616,0.796,-2.932464,0.796,0.0259496,0.0122584,0,0.281784,0.411532,81.172896,1602.348,1,-3.684,1,0.0326,0.0154,0,0.354,0.517,101.976,2013,13.571856,-3.684,-0.1200984,-0.0567336,0,-1.304136,-1.904628,-375.679584,-7415.892,1,0.0326,0.0154,0,0.354,0.517,101.976,2013,0.00106276,0.00050204,0,0.0115404,0.0168542,3.3244176,65.6238,0.00023716,0,0.0054516,0.0079618,1.5704304,31.0002,0,0,0,0,0,0.125316,0.183018,36.099504,712.602,0.267289,52.721592,1040.721,10399.10458,205277.688,4052169,-35274.43718,8788.442291,1,60
25,1,0.621,0.834,7,-3.166,1,0.105,0.127,0,0.0854,0.561,156.095,2013,0.385641,0.517914,4.347,-1.966086,0.621,0.065205,0.078867,0,0.0530334,0.348381,96.934995,1250.073,0.695556,5.838,-2.640444,0.834,0.08757,0.105918,0,0.0712236,0.467874,130.18323,1678.842,49,-22.162,7,0.735,0.889,0,0.5978,3.927,1092.665,14091,10.023556,-3.166,-0.33243,-0.402082,0,-0.2703764,-1.776126,-494.19677,-6373.158,1,0.105,0.127,0,0.0854,0.561,156.095,2013,0.011025,0.013335,0,0.008967,0.058905,16.389975,211.365,0.016129,0,0.0108458,0.071247,19.824065,255.651,0,0,0,0,0,0.00729316,0.0479094,13.330513,171.9102,0.314721,87.569295,1129.293,24365.64903,314219.235,4052169,74534.09115,10564.08208,1,56
26,1,0.536,0.521,7,-4.128,1,0.0274,0.41,0,0.142,0.314,72.06,2013,0.287296,0.279256,3.752,-2.212608,0.536,0.0146864,0.21976,0,0.076112,0.168304,38.62416,1078.968,0.271441,3.647,-2.150688,0.521,0.0142754,0.21361,0,0.073982,0.163594,37.54326,1048.773,49,-28.896,7,0.1918,2.87,0,0.994,2.198,504.42,14091,17.040384,-4.128,-0.1131072,-1.69248,0,-0.586176,-1.296192,-297.46368,-8309.664,1,0.0274,0.41,0,0.142,0.314,72.06,2013,0.00075076,0.011234,0,0.0038908,0.0086036,1.974444,55.1562,0.1681,0,0.05822,0.12874,29.5446,825.33,0,0,0,0,0,0.020164,0.044588,10.23252,285.846,0.098596,22.62684,632.082,5192.6436,145056.78,4052169,-95699.94846,12282.75066,1,61
27,1,0.624,0.821,1,-3.844,0,0.0422,0.112,0,0.276,0.449,93.984,2013,0.389376,0.512304,0.624,-2.398656,0,0.0263328,0.069888,0,0.172224,0.280176,58.646016,1256.112,0.674041,0.821,-3.155924,0,0.0346462,0.091952,0,0.226596,0.368629,77.160864,1652.673,1,-3.844,0,0.0422,0.112,0,0.276,0.449,93.984,2013,14.776336,0,-0.1622168,-0.430528,0,-1.060944,-1.725956,-361.274496,-7737.972,0,0,0,0,0,0,0,0,0.00178084,0.0047264,0,0.0116472,0.0189478,3.9661248,84.9486,0.012544,0,0.030912,0.050288,10.526208,225.456,0,0,0,0,0,0.076176,0.123924,25.939584,555.588,0.201601,42.198816,903.837,8832.992256,189189.792,4052169,-51431.78835,8920.864091,1,48
28,1,0.738,0.804,1,-4.286,0,0.0821,0.163,0,0.826,0.717,120.017,2013,0.544644,0.593352,0.738,-3.163068,0,0.0605898,0.120294,0,0.609588,0.529146,88.572546,1485.594,0.646416,0.804,-3.445944,0,0.0660084,0.131052,0,0.664104,0.576468,96.493668,1618.452,1,-4.286,0,0.0821,0.163,0,0.826,0.717,120.017,2013,18.369796,0,-0.3518806,-0.698618,0,-3.540236,-3.073062,-514.392862,-8627.718,0,0,0,0,0,0,0,0,0.00674041,0.0133823,0,0.0678146,0.0588657,9.8533957,165.2673,0.026569,0,0.134638,0.116871,19.562771,328.119,0,0,0,0,0,0.682276,0.592242,99.134042,1662.738,0.514089,86.052189,1443.321,14404.08029,241594.221,4052169,1232.763447,8109.006619,1,51
29,1,0.675,0.643,7,-6.004,1,0.0315,0.233,0,0.561,0.325,114.051,2013,0.455625,0.434025,4.725,-4.0527,0.675,0.0212625,0.157275,0,0.378675,0.219375,76.984425,1358.775,0.413449,4.501,-3.860572,0.643,0.0202545,0.149819,0,0.360723,0.208975,73.334793,1294.359,49,-42.028,7,0.2205,1.631,0,3.927,2.275,798.357,14091,36.048016,-6.004,-0.189126,-1.398932,0,-3.368244,-1.9513,-684.762204,-12086.052,1,0.0315,0.233,0,0.561,0.325,114.051,2013,0.00099225,0.0073395,0,0.0176715,0.0102375,3.5926065,63.4095,0.054289,0,0.130713,0.075725,26.573883,469.029,0,0,0,0,0,0.314721,0.182325,63.982611,1129.293,0.105625,37.066575,654.225,13007.6306,229584.663,4052169,-10936.8931,10527.20086,1,52
30,1,0.645,0.877,5,-3.208,0,0.113,0.294,0,0.0759,0.861,82.324,2013,0.416025,0.565665,3.225,-2.06916,0,0.072885,0.18963,0,0.0489555,0.555345,53.09898,1298.385,0.769129,4.385,-2.813416,0,0.099101,0.257838,0,0.0665643,0.755097,72.198148,1765.401,25,-16.04,0,0.565,1.47,0,0.3795,4.305,411.62,10065,10.291264,0,-0.362504,-0.943152,0,-0.2434872,-2.762088,-264.095392,-6457.704,0,0,0,0,0,0,0,0,0.012769,0.033222,0,0.0085767,0.097293,9.302612,227.469,0.086436,0,0.0223146,0.253134,24.203256,591.822,0,0,0,0,0,0.00576081,0.0653499,6.2483916,152.7867,0.741321,70.880964,1733.193,6777.240976,165718.212,4052169,-74963.40134,11394.93769,1,69
31,1,0.764,0.842,6,-3.835,1,0.059,0.0546,0,0.0351,0.869,105.018,2013,0.583696,0.643288,4.584,-2.92994,0.764,0.045076,0.0417144,0,0.0268164,0.663916,80.233752,1537.932,0.708964,5.052,-3.22907,0.842,0.049678,0.0459732,0,0.0295542,0.731698,88.425156,1694.946,36,-23.01,6,0.354,0.3276,0,0.2106,5.214,630.108,12078,14.707225,-3.835,-0.226265,-0.209391,0,-0.1346085,-3.332615,-402.74403,-7719.855,1,0.059,0.0546,0,0.0351,0.869,105.018,2013,0.003481,0.0032214,0,0.0020709,0.051271,6.196062,118.767,0.00298116,0,0.00191646,0.0474474,5.7339828,109.9098,0,0,0,0,0,0.00123201,0.0305019,3.6861318,70.6563,0.755161,91.260642,1749.297,11028.78032,211401.234,4052169,-29142.86436,11080.62199,1,52
