,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,principal component 1,principal component 2,Ariana Grande,Drake,Maroon 5,Taylor Swift,popularity
0,1,0.66,0.805,1,-5.352,0,0.153,0.0192,8.83E-06,0.159,0.625,103.009,2014,0.4356,0.5313,0.66,-3.53232,0,0.10098,0.012672,5.83E-06,0.10494,0.4125,67.98594,1329.24,0.648025,0.805,-4.30836,0,0.123165,0.015456,7.11E-06,0.127995,0.503125,82.922245,1621.27,1,-5.352,0,0.153,0.0192,8.83E-06,0.159,0.625,103.009,2014,28.643904,0,-0.818856,-0.1027584,-4.73E-05,-0.850968,-3.345,-551.304168,-10778.928,0,0,0,0,0,0,0,0,0.023409,0.0029376,1.35E-06,0.024327,0.095625,15.760377,308.142,0.00036864,1.70E-07,0.0030528,0.012,1.9777728,38.6688,7.80E-11,1.40E-06,5.52E-06,0.000909569,0.01778362,0.025281,0.099375,16.378431,320.226,0.390625,64.380625,1258.75,10610.85408,207460.126,4056196,-49316.34714,-7527.035403,1,0,0,0,75
1,1,0.443,0.663,8,-5.946,0,0.0432,0.0494,0,0.153,0.331,159.856,2014,0.196249,0.293709,3.544,-2.634078,0,0.0191376,0.0218842,0,0.067779,0.146633,70.816208,892.202,0.439569,5.304,-3.942198,0,0.0286416,0.0327522,0,0.101439,0.219453,105.984528,1335.282,64,-47.568,0,0.3456,0.3952,0,1.224,2.648,1278.848,16112,35.354916,0,-0.2568672,-0.2937324,0,-0.909738,-1.968126,-950.503776,-11975.244,0,0,0,0,0,0,0,0,0.00186624,0.00213408,0,0.0066096,0.0142992,6.9057792,87.0048,0.00244036,0,0.0075582,0.0163514,7.8968864,99.4916,0,0,0,0,0,0.023409,0.050643,24.457968,308.142,0.109561,52.912336,666.634,25553.94074,321949.984,4056196,66088.69946,7121.160671,1,0,0,0,62
2,1,0.687,0.702,7,-5.324,0,0.0455,0.0064,4.35E-05,0.204,0.284,129.956,2014,0.471969,0.482274,4.809,-3.657588,0,0.0312585,0.0043968,2.99E-05,0.140148,0.195108,89.279772,1383.618,0.492804,4.914,-3.737448,0,0.031941,0.0044928,3.05E-05,0.143208,0.199368,91.229112,1413.828,49,-37.268,0,0.3185,0.0448,0.0003045,1.428,1.988,909.692,14098,28.344976,0,-0.242242,-0.0340736,-0.000231594,-1.086096,-1.512016,-691.885744,-10722.536,0,0,0,0,0,0,0,0,0.00207025,0.0002912,1.98E-06,0.009282,0.012922,5.912998,91.637,4.10E-05,2.78E-07,0.0013056,0.0018176,0.8317184,12.8896,1.89E-09,8.87E-06,1.24E-05,0.005653086,0.087609,0.041616,0.057936,26.511024,410.856,0.080656,36.907504,571.976,16888.56194,261731.384,4056196,5256.799695,4775.268621,1,0,0,0,75
3,1,0.654,0.578,6,-6.897,1,0.449,0.546,0,0.112,0.233,143.867,2014,0.427716,0.378012,3.924,-4.510638,0.654,0.293646,0.357084,0,0.073248,0.152382,94.089018,1317.156,0.334084,3.468,-3.986466,0.578,0.259522,0.315588,0,0.064736,0.134674,83.155126,1164.092,36,-41.382,6,2.694,3.276,0,0.672,1.398,863.202,12084,47.568609,-6.897,-3.096753,-3.765762,0,-0.772464,-1.607001,-992.250699,-13890.558,1,0.449,0.546,0,0.112,0.233,143.867,2014,0.201601,0.245154,0,0.050288,0.104617,64.596283,904.286,0.298116,0,0.061152,0.127218,78.551382,1099.644,0,0,0,0,0,0.012544,0.026096,16.113104,225.568,0.054289,33.521011,469.262,20697.71369,289748.138,4056196,33555.36986,3038.348053,1,0,0,0,68
4,1,0.622,0.586,3,-6.241,0,0.0356,0.0735,7.41E-06,0.0803,0.434,145.08,2014,0.386884,0.364492,1.866,-3.881902,0,0.0221432,0.045717,4.61E-06,0.0499466,0.269948,90.23976,1252.708,0.343396,1.758,-3.657226,0,0.0208616,0.043071,4.34E-06,0.0470558,0.254324,85.01688,1180.204,9,-18.723,0,0.1068,0.2205,2.22E-05,0.2409,1.302,435.24,6042,38.950081,0,-0.2221796,-0.4587135,-4.62E-05,-0.5011523,-2.708594,-905.44428,-12569.374,0,0,0,0,0,0,0,0,0.00126736,0.0026166,2.64E-07,0.00285868,0.0154504,5.164848,71.6984,0.00540225,5.45E-07,0.00590205,0.031899,10.66338,148.029,5.49E-11,5.95E-07,3.22E-06,0.001075043,0.01492374,0.00644809,0.0348502,11.649924,161.7242,0.188356,62.96472,874.076,21048.2064,292191.12,4056196,36042.22405,-3083.181429,1,0,0,0,61
5,1,0.726,0.605,6,-5.673,1,0.0628,0.0113,0,0.0639,0.588,93.93,2014,0.527076,0.43923,4.356,-4.118598,0.726,0.0455928,0.0082038,0,0.0463914,0.426888,68.19318,1462.164,0.366025,3.63,-3.432165,0.605,0.037994,0.0068365,0,0.0386595,0.35574,56.82765,1218.47,36,-34.038,6,0.3768,0.0678,0,0.3834,3.528,563.58,12084,32.182929,-5.673,-0.3562644,-0.0641049,0,-0.3625047,-3.335724,-532.86489,-11425.422,1,0.0628,0.0113,0,0.0639,0.588,93.93,2014,0.00394384,0.00070964,0,0.00401292,0.0369264,5.898804,126.4792,0.00012769,0,0.00072207,0.0066444,1.061409,22.7582,0,0,0,0,0,0.00408321,0.0375732,6.002127,128.6946,0.345744,55.23084,1184.232,8822.8449,189175.02,4056196,-67719.62456,2529.293809,1,0,0,0,62
6,1,0.472,0.714,1,-4.389,0,0.0334,0.00937,0,0.0764,0.24,98.992,2014,0.222784,0.337008,0.472,-2.071608,0,0.0157648,0.00442264,0,0.0360608,0.11328,46.724224,950.608,0.509796,0.714,-3.133746,0,0.0238476,0.00669018,0,0.0545496,0.17136,70.680288,1437.996,1,-4.389,0,0.0334,0.00937,0,0.0764,0.24,98.992,2014,19.263321,0,-0.1465926,-0.04112493,0,-0.3353196,-1.05336,-434.475888,-8839.446,0,0,0,0,0,0,0,0,0.00111556,0.000312958,0,0.00255176,0.008016,3.3063328,67.2676,8.78E-05,0,0.000715868,0.0022488,0.92755504,18.87118,0,0,0,0,0,0.00583696,0.018336,7.5629888,153.8696,0.0576,23.75808,483.36,9799.416064,199369.888,4056196,-57453.21623,-7623.658434,1,0,0,0,76
7,1,0.439,0.322,9,-5.959,1,0.028,0.692,0,0.103,0.16,77.963,2014,0.192721,0.141358,3.951,-2.616001,0.439,0.012292,0.303788,0,0.045217,0.07024,34.225757,884.146,0.103684,2.898,-1.918798,0.322,0.009016,0.222824,0,0.033166,0.05152,25.104086,648.508,81,-53.631,9,0.252,6.228,0,0.927,1.44,701.667,18126,35.509681,-5.959,-0.166852,-4.123628,0,-0.613777,-0.95344,-464.581517,-12001.426,1,0.028,0.692,0,0.103,0.16,77.963,2014,0.000784,0.019376,0,0.002884,0.00448,2.182964,56.392,0.478864,0,0.071276,0.11072,53.950396,1393.688,0,0,0,0,0,0.010609,0.01648,8.030189,207.442,0.0256,12.47408,322.24,6078.229369,157017.482,4056196,-99983.05684,8508.911428,1,0,0,0,68
8,1,0.662,0.766,7,-5.694,1,0.0377,0.214,0,0.324,0.376,97.959,2014,0.438244,0.507092,4.634,-3.769428,0.662,0.0249574,0.141668,0,0.214488,0.248912,64.848858,1333.268,0.586756,5.362,-4.361604,0.766,0.0288782,0.163924,0,0.248184,0.288016,75.036594,1542.724,49,-39.858,7,0.2639,1.498,0,2.268,2.632,685.713,14098,32.421636,-5.694,-0.2146638,-1.218516,0,-1.844856,-2.140944,-557.778546,-11467.716,1,0.0377,0.214,0,0.324,0.376,97.959,2014,0.00142129,0.0080678,0,0.0122148,0.0141752,3.6930543,75.9278,0.045796,0,0.069336,0.080464,20.963226,430.996,0,0,0,0,0,0.104976,0.121824,31.738716,652.536,0.141376,36.832584,757.264,9595.965681,197289.426,4056196,-59581.80519,4576.605646,1,0,0,0,56
9,1,0.54,0.265,11,-5.307,1,0.0297,0.88,0,0.131,0.423,61.975,2014,0.2916,0.1431,5.94,-2.86578,0.54,0.016038,0.4752,0,0.07074,0.22842,33.4665,1087.56,0.070225,2.915,-1.406355,0.265,0.0078705,0.2332,0,0.034715,0.112095,16.423375,533.71,121,-58.377,11,0.3267,9.68,0,1.441,4.653,681.725,22154,28.164249,-5.307,-0.1576179,-4.67016,0,-0.695217,-2.244861,-328.901325,-10688.298,1,0.0297,0.88,0,0.131,0.423,61.975,2014,0.00088209,0.026136,0,0.0038907,0.0125631,1.8406575,59.8158,0.7744,0,0.11528,0.37224,54.538,1772.32,0,0,0,0,0,0.017161,0.055413,8.118725,263.834,0.178929,26.215425,851.922,3840.900625,124817.65,4056196,-132223.8145,12389.11093,1,0,0,0,63
